name,industry,ratings,reviews,salaries,interviews,jobs,benefits,photos,hq,more_locations
Royal Enfield,Automobile,4.2,4000.0,1480000.0,199.0,19.0,396.0,38.0,Chennai,372
Jindal Steel Limited,Iron & Steel,3.9,4000.0,1550000.0,414.0,28.0,328.0,37.0,Angul,173
Hindalco Industries,Metals & Mining,4.2,4000.0,1250000.0,300.0,10.0,327.0,10.0,Sambalpur,128
John Deere,Industrial Machinery,4.0,4000.0,1530000.0,267.0,1.0,417.0,11.0,Pune,156
Tata Communications,Telecom,3.9,4000.0,2350000.0,300.0,215.0,426.0,13.0,Pune,102
DCB Bank,Banking,3.8,4000.0,930000.0000000001,226.0,10.0,248.0,23.0,Mumbai,342
HDFC Ergo General Insurance,Insurance,4.0,4000.0,1200000.0,197.0,13.0,273.0,7.0,Mumbai,326
State Street Corporation,Financial Services,3.5,4000.0,3140000.0,284.0,8.0,261.0,10.0,Bangalore / Bengaluru,35
RBL Bank,Banking,3.5,3900.0,1830000.0,236.0,54.0,221.0,11.0,Mumbai,284
Cummins,Industrial Machinery,4.3,3900.0,1550000.0,281.0,9.0,458.0,16.0,Pune,115
Oyo Rooms,Internet,3.1,3900.0,1430000.0,254.0,124.0,389.0,14.0,Gurgaon / Gurugram,122
Alembic Pharmaceuticals,Pharma,3.9,3800.0,1530000.0,253.0,68.0,378.0,9.0,Vadodara,187
Pidilite Industries,Chemicals,4.2,3800.0,1150000.0,257.0,3.0,359.0,1.0,Mumbai,314
Bank of America,Banking,4.1,3800.0,2830000.0,285.0,0.0,413.0,0.0,Gurgaon / Gurugram,35
Reliance Communications,Telecom,4.0,3800.0,950000.0,106.0,0.0,375.0,0.0,Mumbai,467
Publicis Sapient,IT Services & Consulting,3.4,3800.0,3080000.0,690.0,267.0,391.0,66.0,Bangalore / Bengaluru,46
Carelon Global Solutions,IT Services & Consulting,3.9,3800.0,2670000.0,410.0,20.0,7.0,9.0,Bangalore / Bengaluru,21
Subros,Auto Components,3.8,3800.0,1250000.0,217.0,1.0,379.0,11.0,Noida,89
Viatris,Pharma,4.1,3800.0,1420000.0,164.0,4.0,500.0,13.0,Hyderabad / Secunderabad,80
American Express,Financial Services,4.1,3800.0,2470000.0,423.0,143.0,435.0,10.0,Gurgaon / Gurugram,53
XpressBees,Logistics,4.2,3800.0,819999.9999999999,442.0,13.0,176.0,23.0,Pune,475
PVR INOX,Media & Entertainment,3.9,3800.0,940000.0,212.0,20.0,242.0,5.0,New Delhi,149
Automatic Data Processing (ADP),Software Product,3.9,3700.0,2200000.0,290.0,45.0,457.0,16.0,Hyderabad / Secunderabad,40
PNB MetLife,Insurance,3.4,3700.0,800000.0,192.0,6.0,217.0,18.0,New Delhi,426
Aditya Birla Sun Life Insurance,Insurance,4.0,3700.0,1000000.0,177.0,0.0,214.0,23.0,Mumbai,489
Grasim Industries,Building Material,4.0,3700.0,1250000.0,272.0,5.0,267.0,11.0,Bharuch,242
Escorts Kubota Limited,Automobile,4.1,3700.0,1330000.0,295.0,5.0,255.0,26.0,Faridabad,154
Kyndryl,IT Services & Consulting,3.9,3700.0,2600000.0,224.0,29.0,163.0,59.0,Bangalore / Bengaluru,37
Aditya Birla Capital,NBFC,3.8,3700.0,1420000.0,255.0,3.0,211.0,30.0,Mumbai,339
Maersk,Logistics,4.0,3700.0,1889999.9999999998,247.0,35.0,421.0,26.0,Chennai,49
Altruist Technologies,BPO,4.4,3700.0,819999.9999999999,689.0,9.0,83.0,6.0,Bangalore / Bengaluru,44
Synechron,IT Services & Consulting,3.4,3600.0,2800000.0,403.0,83.0,238.0,10.0,Pune,32
Birlasoft,IT Services & Consulting,3.5,3600.0,2970000.0,315.0,506.0,235.0,8.0,Pune,50
Glenmark Pharmaceuticals,Pharma,3.8,3600.0,1240000.0,178.0,124.0,317.0,1.0,Mumbai,185
Sodexo,Facility Management Services,4.0,3600.0,969999.9999999999,200.0,1200.0,364.0,22.0,Mumbai,157
KPIT Technologies,Software Product,3.0,3600.0,2300000.0,342.0,37.0,289.0,17.0,Pune,44
Godrej & Boyce Manufacturing,Consumer Electronics & Appliances,3.9,3600.0,1520000.0,225.0,97.0,412.0,3.0,Mumbai,165
JK Cement,Building Material,4.0,3600.0,969999.9999999999,331.0,1.0,257.0,28.0,New Delhi,329
Samvardhana Motherson Group,Auto Components,3.7,3600.0,1210000.0,257.0,12.0,403.0,11.0,Noida,93
Bharat Electronics,Electronics Manufacturing,4.2,3600.0,1240000.0,244.0,0.0,312.0,1.0,Bangalore / Bengaluru,87
Dabur,FMCG,3.8,3600.0,880000.0000000001,329.0,21.0,276.0,5.0,New Delhi,320
Kotak Mahindara Life Insurance,Insurance,3.5,3600.0,1250000.0,259.0,185.0,256.0,3.0,Mumbai,256
Cogent E Services,BPO,3.2,3600.0,1030000.0000000001,292.0,1.0,220.0,13.0,Noida,55
Abbott,Pharma,4.1,3600.0,1180000.0,180.0,241.0,361.0,8.0,Mumbai,214
Ipca Laboratories,Pharma,3.8,3500.0,1150000.0,202.0,49.0,245.0,4.0,Mumbai,160
Aarti Industries,Agro Chemicals,4.1,3500.0,1430000.0,328.0,14.0,351.0,6.0,Bharuch,58
Reliance Projects & Property Management Services,Other,4.0,3500.0,720000.0,210.0,0.0,20.0,6.0,Kolkata,619
Indian Oil Corporation,Oil & Gas,4.3,3500.0,770000.0,234.0,0.0,291.0,32.0,New Delhi,309
Alkem Laboratories,Pharma,3.9,3500.0,980000.0000000001,193.0,12.0,328.0,2.0,Mumbai,196
MRF Tyres,Auto Components,3.6,3500.0,1260000.0,370.0,18.0,345.0,9.0,Chennai,193
Reliance Digital,Retail,4.2,3500.0,810000.0,166.0,1.0,241.0,27.0,Mumbai,378
Cloudnine Hospital,Healthcare,4.4,3500.0,290000.0,1100.0,4.0,78.0,5.0,Bangalore / Bengaluru,46
Johnson Controls,Industrial Automation,3.5,3500.0,1739999.9999999998,301.0,5.0,266.0,28.0,Pune,57
"NTT DATA, Inc.",IT Services & Consulting,3.9,3500.0,2130000.0,152.0,79.0,624.0,7.0,Bangalore / Bengaluru,36
PhonePe,FinTech,4.1,3500.0,1280000.0,413.0,65.0,183.0,11.0,Bangalore / Bengaluru,392
IGT Solutions,BPO,3.2,3400.0,1350000.0,252.0,92.0,213.0,14.0,New Delhi,47
Honda Motorcycle & Scooter,Automobile,4.1,3400.0,1110000.0,202.0,0.0,348.0,4.0,Gurgaon / Gurugram,298
UNO Minda,Auto Components,3.9,3400.0,1120000.0,251.0,13.0,279.0,5.0,Pune,109
Vishal Mega Mart,Retail,3.8,3400.0,620000.0,205.0,5.0,273.0,12.0,New Delhi,377
ArcelorMittal Nippon Steel,Iron & Steel,4.1,3400.0,1170000.0,270.0,0.0,111.0,6.0,Surat,85
Hindustan Coca Cola Beverages,Beverage,4.0,3400.0,760000.0,176.0,37.0,377.0,4.0,Bangalore / Bengaluru,260
